AgentKey,AgentType,Year,TransactionSides,TotalSalesVolume,GCI
2004443032.0,REALTOR,2025,1,540000.0,16200.0
2004445795.0,REALTOR,2024,1,82500.0,2475.0
2004448013.0,NON-REALTOR,2024,1,450000.0,13500.0
2004457911.0,REALTOR,2024,1,1050000.0,29400.0
2004467692.0,NON-REALTOR,2024,3,2920000.0,85870.0
2004467692.0,NON-REALTOR,2025,7,3744500.0,104846.0
2004474608.0,REALTOR,2024,4,2788950.0,80904.6
2004474608.0,REALTOR,2025,1,550000.0,15400.0
2004475435.0,REALTOR,2024,1,925000.0,25900.0
2004485910.0,REALTOR,2024,1,545000.0,15260.0
2004485910.0,REALTOR,2025,5,3467900.0,99797.2
2004486099.0,NON-REALTOR,2024,1,448000.0,13440.0
2004494363.0,REALTOR,2024,1,595000.0,16660.0
2004501548.0,REALTOR,2025,1,260000.0,7800.0
2004518393.0,REALTOR,2024,1,605000.0,16940.0
2004529080.0,REALTOR,2024,1,649500.0,18186.0
2004529080.0,REALTOR,2025,1,893000.0,26790.0
2004546261.0,REALTOR,2024,3,1527950.0,42782.6
2004546261.0,REALTOR,2025,2,1053950.0,29510.6
2004546881.0,REALTOR,2024,1,660000.0,18480.0
2004546881.0,REALTOR,2025,1,310000.0,9300.0
2004571305.0,NON-REALTOR,2025,1,420000.0,12600.0
2004580956.0,REALTOR,2025,1,895000.0,25060.0
2004607165.0,NON-REALTOR,2024,1,222000.0,6660.0
2004607165.0,NON-REALTOR,2025,2,924000.0,27720.0
2004614778.0,REALTOR,2024,2,1194740.0,33452.72
2004614778.0,REALTOR,2025,3,2275000.0,63700.0
2004620018.0,NON-REALTOR,2024,1,280000.0,7840.0
2004635488.0,REALTOR,2024,3,1759999.0,51799.972
2004635488.0,REALTOR,2025,2,1200000.0,33600.0
2004635618.0,REALTOR,2024,3,2361000.0,69680.0
2004635618.0,REALTOR,2025,1,360000.0,10800.0
2004637432.0,REALTOR,2024,2,529000.0,15870.0
2004676449.0,NON-REALTOR,2024,1,430000.0,12040.0
2004676449.0,NON-REALTOR,2025,1,395000.0,11060.0
2004678471.0,REALTOR,2024,4,1696300.0,49996.0
2004706892.0,REALTOR,2024,1,20000.0,560.0
2004724143.0,REALTOR,2024,10,7727000.0,219256.0
2004724143.0,REALTOR,2025,8,6917900.0,197509.2
2004774141.0,REALTOR,2024,1,749500.0,20986.0
2004811671.0,REALTOR,2025,1,1200000.0,33600.0
2004817134.0,REALTOR,2024,1,1085000.0,32550.0
2004826352.0,REALTOR,2025,3,1480000.0,42280.0
2004827217.0,NON-REALTOR,2024,2,1428524.0,42855.72
2004827217.0,NON-REALTOR,2025,1,680000.0,20400.0
2004827952.0,NON-REALTOR,2024,1,279000.0,8370.0
2004827952.0,NON-REALTOR,2025,3,1763368.0,52901.04
2004841612.0,REALTOR,2024,1,515000.0,14420.0
2004841612.0,REALTOR,2025,1,920000.0,25760.0
2004857057.0,NON-REALTOR,2025,1,763000.0,21364.0
2004858625.0,NON-REALTOR,2025,1,125000.0,3750.0
2004881166.0,REALTOR,2024,4,2547000.0,71316.0
2004881166.0,REALTOR,2025,1,799000.0,23970.0
2004881580.0,REALTOR,2024,1,1355000.0,40650.0
2004881580.0,REALTOR,2025,7,9828000.0,291546.0
2004882735.0,NON-REALTOR,2024,2,2080000.0,62400.0
2004907715.0,REALTOR,2025,1,280000.0,8400.0
2004909152.0,NON-REALTOR,2024,1,437000.0,13110.0
2004912749.0,NON-REALTOR,2025,1,735000.0,20580.0
2004923282.0,REALTOR,2024,2,1123990.0,31471.72
2004923282.0,REALTOR,2025,3,2247500.0,64910.0
2004945305.0,REALTOR,2024,7,4301080.0,121180.24
2004945305.0,REALTOR,2025,1,1475000.0,41300.0
2004954492.0,REALTOR,2024,1,550000.0,15400.0
2004969643.0,REALTOR,2024,1,625000.0,17500.0
2004971340.0,REALTOR,2024,8,3676800.0,105764.4
2004972767.0,REALTOR,2025,1,610000.0,18300.0
2004975861.0,REALTOR,2024,3,3075000.0,89740.0
2004975861.0,REALTOR,2025,2,1765000.0,50012.0
2004999838.0,NON-REALTOR,2024,2,882000.0,24696.0
2005005018.0,NON-REALTOR,2024,1,425000.0,11900.0
2005005018.0,NON-REALTOR,2025,1,410000.0,12300.0
2005005669.0,NON-REALTOR,2024,4,2165000.0,60620.0
2005012399.0,REALTOR,2024,1,2965000.0,88950.0
2005012399.0,REALTOR,2025,1,825000.0,23100.0
2005020226.0,REALTOR,2025,2,2152000.0,64560.0
2005044320.0,REALTOR,2024,1,335000.0,10050.0
2005044320.0,REALTOR,2025,2,880000.0,25630.0
2005078015.0,REALTOR,2024,2,1529000.0,42812.0
2005078015.0,REALTOR,2025,7,4270000.0,119560.0
2005095301.0,REALTOR,2024,1,1420000.0,42600.0
2005100887.0,REALTOR,2024,1,610000.0,18300.0
2005104678.0,NON-REALTOR,2025,1,910000.0,27300.0
2005114762.0,REALTOR,2025,1,335000.0,10050.0
2005122074.0,REALTOR,2024,1,1090000.0,30520.0
2005122074.0,REALTOR,2025,1,235000.0,7050.0
2005142679.0,REALTOR,2024,2,2078900.0,60899.2
2005142679.0,REALTOR,2025,1,575500.0,17265.0
2005144597.0,REALTOR,2025,1,465000.0,13020.0
2005144666.0,REALTOR,2024,2,1234000.0,37020.0
2005167309.0,REALTOR,2024,2,1522000.0,42616.0
2005167511.0,NON-REALTOR,2024,2,582000.0,16878.0
2005172843.0,REALTOR,2025,2,703000.0,20424.0
2005211244.0,NON-REALTOR,2024,1,650000.0,18200.0
2005211847.0,REALTOR,2024,5,2639000.0,77100.0
2005211847.0,REALTOR,2025,11,6794000.0,196920.0
2005230307.0,REALTOR,2024,1,3000000.0,84000.0
2005234689.0,REALTOR,2024,1,565000.0,15820.0
